Plate,Well,Sample,Target,CT,Quantity,log10Q
22,B4,B Stand,B,,2000,3.301029996
23,B3,B Stand,B,,2000,3.301029996
23,B4,B Stand,B,37.12247086,2000,3.301029996
24,B3,B Stand,B,36.5765686,2000,3.301029996
24,B4,B Stand,B,37.25990295,2000,3.301029996
25,B3,B Stand,B,36.27894592,2000,3.301029996
25,B4,B Stand,B,35.63960266,2000,3.301029996
26,B3,B Stand,B,36.3055687,2000,3.301029996
26,B4,B Stand,B,36.43675613,2000,3.301029996
27,B3,B Stand,B,36.19731522,2000,3.301029996
27,B4,B Stand,B,,2000,3.301029996
28,B3,B Stand,B,,2000,3.301029996
28,B4,B Stand,B,35.12862778,2000,3.301029996
29,B3,B Stand,B,35.64997864,2000,3.301029996
29,B4,B Stand,B,35.1998558,2000,3.301029996
30,B3,B Stand,B,37.14690018,2000,3.301029996
30,B4,B Stand,B,,2000,3.301029996
31,B3,B Stand,B,37.40792084,2000,3.301029996
31,B4,B Stand,B,,2000,3.301029996
32,B3,B Stand,B,,2000,3.301029996
32,B4,B Stand,B,36.55703735,2000,3.301029996
33,B3,B Stand,B,37.8466835,2000,3.301029996
33,B4,B Stand,B,36.74104691,2000,3.301029996
34,B3,B Stand,B,37.33478546,2000,3.301029996
34,B4,B Stand,B,36.83854675,2000,3.301029996
35,B3,B Stand,B,36.68688583,2000,3.301029996
35,B4,B Stand,B,36.94319534,2000,3.301029996
36,B3,B Stand,B,,2000,3.301029996
36,B4,B Stand,B,37.41119766,2000,3.301029996
38,B3,B Stand,B,36.12303162,2000,3.301029996
38,B4,B Stand,B,36.56270981,2000,3.301029996
39,B3,B Stand,B,37.26198578,2000,3.301029996
39,B4,B Stand,B,37.20645523,2000,3.301029996
40,B3,B Stand,B,37.59418869,2000,3.301029996
40,B4,B Stand,B,37.20384598,2000,3.301029996
37,B3,B Stand,B,35.93832779,2000,3.301029996
37,B4,B Stand,B,36.43983459,2000,3.301029996
42,B1,B Stand,B,38.59802628,2000,3.301029996
42,B2,B Stand,B,,2000,3.301029996
43,B3,B Stand,B,37.23608017,2000,3.301029996
43,B4,B Stand,B,37.10512543,2000,3.301029996
44,B3,B Stand,B,37.61174011,2000,3.301029996
44,B4,B Stand,B,,2000,3.301029996
2,C5,D Stand,D,31.55605125,2000,3.301029996
2,C6,D Stand,D,31.11744308,2000,3.301029996
3,C5,D Stand,D,,2000,3.301029996
3,C6,D Stand,D,30.65438843,2000,3.301029996
4,B5,D Stand,D,32.88221741,2000,3.301029996
4,B6,D Stand,D,,2000,3.301029996
5,B5,D Stand,D,30.32152557,2000,3.301029996
5,B6,D Stand,D,30.2860508,2000,3.301029996
6,B5,D Stand,D,30.86607742,2000,3.301029996
6,B6,D Stand,D,,2000,3.301029996
7,B5,D Stand,D,31.65097809,2000,3.301029996
7,B6,D Stand,D,32.11330795,2000,3.301029996
8,B5,D Stand,D,30.21228409,2000,3.301029996
8,B6,D Stand,D,29.83922768,2000,3.301029996
9,B5,D Stand,D,,2000,3.301029996
9,B6,D Stand,D,30.75442314,2000,3.301029996
10,B5,D Stand,D,31.7537632,2000,3.301029996
10,B6,D Stand,D,30.87267494,2000,3.301029996
11,B5,D Stand,D,31.67240334,2000,3.301029996
11,B6,D Stand,D,30.90373421,2000,3.301029996
12,B5,D Stand,D,31.27327156,2000,3.301029996
12,B6,D Stand,D,31.74666786,2000,3.301029996
13,B5,D Stand,D,Undetermined,2000,3.301029996
13,B6,D Stand,D,Undetermined,2000,3.301029996
14,B5,D Stand,D,32.31056213,2000,3.301029996
14,B6,D Stand,D,32.25709152,2000,3.301029996
15,B5,D Stand,D,31.13317108,2000,3.301029996
15,B6,D Stand,D,30.08897209,2000,3.301029996
16,B5,D Stand,D,,2000,3.301029996
16,B6,D Stand,D,30.83432388,2000,3.301029996
17,B5,D Stand,D,31.56373978,2000,3.301029996
17,B6,D Stand,D,30.65428543,2000,3.301029996
18,B5,D Stand,D,32.36107635,2000,3.301029996
18,B6,D Stand,D,31.03360558,2000,3.301029996
19,B5,D Stand,D,31.2737999,2000,3.301029996
19,B6,D Stand,D,32.28032303,2000,3.301029996
20,B5,D Stand,D,30.49557114,2000,3.301029996
20,B6,D Stand,D,31.00881577,2000,3.301029996
21,B5,D Stand,D,30.47338295,2000,3.301029996
21,B6,D Stand,D,30.75728989,2000,3.301029996
22,B5,D Stand,D,30.87211037,2000,3.301029996
22,B6,D Stand,D,30.21617317,2000,3.301029996
23,B5,D Stand,D,29.9683609,2000,3.301029996
23,B6,D Stand,D,29.8164978,2000,3.301029996
24,B5,D Stand,D,31.34329224,2000,3.301029996
24,B6,D Stand,D,30.83844185,2000,3.301029996
25,B5,D Stand,D,29.92682838,2000,3.301029996
25,B6,D Stand,D,29.46993065,2000,3.301029996
26,B5,D Stand,D,29.84615326,2000,3.301029996
26,B6,D Stand,D,30.47609138,2000,3.301029996
27,B5,D Stand,D,30.4463253,2000,3.301029996
27,B6,D Stand,D,30.52975082,2000,3.301029996
28,B5,D Stand,D,,2000,3.301029996
28,B6,D Stand,D,30.52152061,2000,3.301029996
29,B5,D Stand,D,31.77277374,2000,3.301029996
29,B6,D Stand,D,30.32570457,2000,3.301029996
30,B5,D Stand,D,29.8304348,2000,3.301029996
30,B6,D Stand,D,30.90229416,2000,3.301029996
31,B5,D Stand,D,32.49022293,2000,3.301029996
31,B6,D Stand,D,30.10474014,2000,3.301029996
32,B5,D Stand,D,30.19285393,2000,3.301029996
32,B6,D Stand,D,31.18412018,2000,3.301029996
33,B5,D Stand,D,30.83577538,2000,3.301029996
33,B6,D Stand,D,30.30013084,2000,3.301029996
34,B5,D Stand,D,31.7672863,2000,3.301029996
34,B6,D Stand,D,30.23702049,2000,3.301029996
35,B5,D Stand,D,30.22023773,2000,3.301029996
35,B6,D Stand,D,29.57754898,2000,3.301029996
36,B5,D Stand,D,30.28661346,2000,3.301029996
36,B6,D Stand,D,31.23734283,2000,3.301029996
38,B5,D Stand,D,29.95366669,2000,3.301029996
38,B6,D Stand,D,29.74069214,2000,3.301029996
39,B5,D Stand,D,30.8119812,2000,3.301029996
39,B6,D Stand,D,31.21149445,2000,3.301029996
40,B5,D Stand,D,30.84067726,2000,3.301029996
40,B6,D Stand,D,30.21571541,2000,3.301029996
37,B5,D Stand,D,29.35391235,2000,3.301029996
37,B6,D Stand,D,30.0276947,2000,3.301029996
42,B7,D Stand,D,30.38602066,2000,3.301029996
42,B8,D Stand,D,31.22487259,2000,3.301029996
43,B5,D Stand,D,29.69322586,2000,3.301029996
43,B6,D Stand,D,29.73774338,2000,3.301029996
44,B5,D Stand,D,,2000,3.301029996
44,B6,D Stand,D,29.87659836,2000,3.301029996
2,D1,A Stand,A,,4000,3.602059991
2,D2,A Stand,A,31.75748253,4000,3.602059991
3,D1,A Stand,A,32.3963356,4000,3.602059991
3,D2,A Stand,A,,4000,3.602059991
4,C1,A Stand,A,31.99671364,4000,3.602059991
