Sample,Sym_Num,Sym_ID,Env,Time,Rep
1258,2,AB,Light,2,2
1259,2,AB,Light,2,2
1260,2,AB,Light,2,2
1262,2,AB,Dark,2,2
1266,2,AB,Dark,2,2
1268,2,AB,Dark,2,2
1269,2,AB,Dark,2,2
1272,2,AB,Light,2,3
1276,2,AB,Light,2,3
1278,2,AB,Light,2,3
1279,2,AB,Light,2,3
1280,2,AB,Light,2,3
1282,2,AB,Dark,2,3
1286,2,AB,Dark,2,3
1288,2,AB,Dark,2,3
1289,2,AB,Dark,2,3
1290,2,AB,Dark,2,3
